catchment,water_body,description
Đắk Nông,Sông Đắk R' Lấp,Sông Đắk R' Lấp (tên khác: Sông Đắk NBLiêng) là một con sông đổ ra Sông Bé. Sông có chiều dài 123 km và diện tích lưu vực là 1.085 km².
Đắk Nông,Sông Đăk R'me Nhỏ,Sông Đăk R'me Nhỏ là một con sông đổ ra Sông Đăk R'me. Sông Đăk R'me Nhỏ chảy qua các tỉnh Bình Phước và Đắk Nông.
Đắk Nông,Sông Đắk Ru,"Sông Đắk Ru là một con sông đổ ra Sông Đắk Kar. Sông Đắk Ru chảy qua các tỉnh Bình Phước, Đắk Nông."
Đắk Nông,Sông Đắk Soi,"Sông Đắk Soi là một con sông đổ ra Sông Đắk Huýt. Sông Đắk Soi chảy qua các tỉnh Bình Phước, Đắk Nông."
Đắk Nông,Sông Đắk Tu,"Sông Đắk Tu (tên khác: Sông Đắk Klau, Sông Đắk Rô, Sông Đắk Ro) là một con sông đổ ra Sông Đắk Ki Na. Sông có chiều dài 17 km và diện tích lưu vực là 37 km². Sông Đắk Tu chảy qua các tỉnh Đắk Nông, Đắk Lắk."
Đắk Nông,Sông Đắk Tul,"Sông Đắk Tul (tên khác: Sông Đắk Tui) là một con sông đổ ra Sông Đắk Ki Na. Sông có chiều dài 16 km và diện tích lưu vực là 21 km². Sông Đắk Tul chảy qua các tỉnh Đắk Nông, Đắk Lắk."
Đắk Nông,Sông Đồng Nai,"Sông Đồng Nai là con sông nội địa dài nhất Việt Nam, lớn thứ 2 Nam Bộ về lưu vực, chỉ sau sông Cửu Long. Sông Đồng Nai chảy qua các tỉnh Lâm Đồng, Đắk Nông, Bình Phước, Đồng Nai, Bình Dương, Thành phố Hồ Chí Minh với chiều dài 586 km và lưu vực 38.600 km²."
Đắk Nông,Suối Đắk Lis,"Phụ lưu số 1 (Suối Đắk Lis) là một con suối đổ ra Sông Đắk Na. Suối có chiều dài 15 km và diện tích lưu vực là 47 km². Phụ lưu số 1 (Suối Đắk Lis) chảy qua các tỉnh Đắk Nông, Đắk Lắk."
Đắk Nông,Sông Đa Dâng,"Sông Đa Dâng (còn được viết là Đa Deung hay Đa Dung ) là dòng thượng nguồn của sông Đồng Nai trên địa bàn tỉnh Lâm Đồng, Việt Nam."
Đắk Nông,Sông Đăk R'me,"Sông Đăk R'me, còn viết là Đắk R'me, Đắk R'Ké, là phụ lưu của Sông Đăk G'lun ở thượng nguồn Sông Bé. Sông Đăk R'me chảy qua các tỉnh Bình Phước, Đắk Nông."
Đắk Nông,Sông Ea Ndrich,"Sông Ea Ndrich (tên khác: Sông Đắk Rích) là một con sông đổ ra sông Srêpốk. Sông có chiều dài 40 km và diện tích lưu vực là 153 km². Sông Ea Ndrich chảy qua các tỉnh Đắk Nông, Đắk Lắk."
Đắk Nông,Suối Ea Drich,"Suối Ea Drich là một con suối đổ ra Sông Ea Ndrich. Suối có chiều dài 10 km và diện tích lưu vực là 18 km². Suối Ea Drich chảy qua các tỉnh Đắk Nông, Đắk Lắk."
Đắk Nông,Krông Nô (sông),"Sông Krông Nô, tên chính thức là Ea Krông Knô hay Đắk Krông Knô (có nghĩa là ""sông cha"" hoặc ""sông đực""), là một trong những con sông lớn ở Đắk Lắk, Đắk Nông và Lâm Đồng."
Đắk Nông,Sông Đăk G'lun,"Sông Đăk G'lun, có khi viết là Đắk G'lun, Dak G'lun hay Đắk G'lum, Đắk Lung, là một dòng thượng nguồn của sông Bé trong hệ thống sông Đồng Nai."
Đắk Nông,Sông Đắk N'Drung,"Sông Đắk N'Drung hay suối Đắk N'Drung là một con sông thuộc hệ thống sông Đồng Nai, chảy ở huyện Đắk Song và Tuy Đức tỉnh Đắk Nông, Việt Nam."
Đắk Nông,Sông Đắk Nông,"Sông Đắk Nông hay suối Đắk Nông là phụ lưu cấp 1 của sông Đồng Nai, chảy ở huyện Đắk Song và thành phố Gia Nghĩa tỉnh Đắk Nông, Việt Nam."
Đắk Nông,Suối Đắk Nia,"Sông Đắk Nia hay suối Đắk Nia, còn viết là Đắk Nir, Đắk Ninh, là dòng suối chảy ở thành phố Gia Nghĩa tỉnh Đắk Nông, Việt Nam."
Đắk Nông,Suối Đắk R'Tih,"Đăk R’tih hay Đắk R’tih là phụ lưu cấp 2 của sông Đồng Nai, chảy ở huyện Tuy Đức tỉnh Đắk Nông, Việt Nam."
Điện Biên,Nậm Cơ,"Nậm Cơ là một con sông đổ ra Sông Đà. Sông có chiều dài 27 km và diện tích lưu vực là 111 km². Nậm Cơ chảy qua các tỉnh Sơn La, Điện Biên."
Điện Biên,Nậm Chà (sông),"Nậm Chà là một con sông chảy ở huyện Nậm Pồ tỉnh Điện Biên và huyện Nậm Nhùn tỉnh Lai Châu, Việt Nam."
Điện Biên,Nậm Nhé,"Nậm Nhé là một con sông thuộc lưu vực sông Đà, chảy ở huyện Mường Nhé tỉnh Điện Biên và huyện Nậm Nhùn tỉnh Lai Châu, Việt Nam."
Điện Biên,Nậm Chim,"Nậm Chim là một sông nhỏ trong lưu vực của sông Đà ở tỉnh Điện Biên, Việt Nam."
Điện Biên,Sông Đà,"Sông Đà (còn gọi là sông Bờ hay Đà Giang ) là phụ lưu lớn nhất của sông Hồng. Sông dài 927 km (có tài liệu ghi 983 km hoặc 910 km), diện tích lưu vực là 52.900 km². Dòng chính bắt nguồn từ núi Vô Lượng, tỉnh Vân Nam, Trung Quốc, chảy theo hướng Tây Bắc - Đông Nam để rồi nhập với sông Hồng ở Phú Thọ."
Điện Biên,Nậm É,"Nậm É hay Nậm E là một sông trong lưu vực sông Mã, chảy ở các tỉnh Sơn La và Điện Biên, Việt Nam."
Điện Biên,Nậm Húa,"Nậm Húa, còn có tên là Nậm Hóa, Nậm Hua, Nậm Khoai, là một phụ lưu của Sông Mã, chảy qua các tỉnh Sơn La và Điện Biên, Việt Nam."
Điện Biên,Nậm Kè (sông),"Nậm Kè là một phụ lưu bờ phải sông Nậm Nhé thuộc lưu vực sông Đà, chảy ở xã Nậm Kè huyện Mường Nhé tỉnh Điện Biên, Việt Nam."
Điện Biên,Nậm Lay,"Nậm Lay là một phụ lưu bờ phải sông Đà, chảy ở huyện Mường Chà và thị xã Mường Lay tỉnh Điện Biên, Việt Nam."
Điện Biên,Nậm Mo Phí,"Nậm Mo Phí, hay Suối Mo Phí, là một phụ lưu cấp 2 của sông Đà. Nậm Mo Phí chảy qua các tỉnh Lai Châu và Điện Biên, Việt Nam."
Điện Biên,Nậm Mỳ,"Nậm Mỳ là một con sông đổ ra Nậm Ngà, chảy tỉnh Lai Châu và Điện Biên, Việt Nam."
Điện Biên,Sông Mã,"Sông Mã là một con sông của Việt Nam và Lào có chiều dài 512 km, trong đó phần trên lãnh thổ Việt Nam dài 410 km và phần trên lãnh thổ Lào dài 102 km. Lưu vực của sông Mã rộng 28.400 km², phần ở Việt Nam rộng 17.600 km², cao trung bình 762 m, độ dốc trung bình 17,6%, mật độ sông suối toàn lưu vực 0,66 km/ km². Lưu lượng nước trung bình năm 121 m³ / s tại Xã Là và 341 m³ /s tại Cẩm Thủy. Sông Mã chủ yếu chảy giữa vùng rừng núi và trung du. Phù sa sông Mã là nguồn chủ yếu tạo nên đồng bằng Thanh Hóa lớn thứ 3 ở Việt Nam."
Điện Biên,Nậm Ngà,"Nậm Ngà là một con sông đổ ra Nậm Nhé. Sông có chiều dài 38 km và diện tích lưu vực là 206 km². Nậm Ngà chảy qua các tỉnh Lai Châu và Điện Biên, Việt Nam."
Điện Biên,Nậm Nhạt,"Nậm Nhạt là một con sông đổ ra Sông Đà. Nậm Nhạt chảy qua các tỉnh Lai Châu và Điện Biên, Việt Nam."
Điện Biên,Nậm Nhè,"Nậm Nhè là một con sông đổ ra Nậm Nhạt. Sông có chiều dài 96 km và diện tích lưu vực là 1.337 km². Nậm Nhè chảy qua các tỉnh Lai Châu, Điện Biên.."
Điện Biên,Nậm Ta Na,"Nậm Ta Na là một con suối đổ vào dòng nậm Pồ, chảy ở xã Chà Cang huyện Nậm Pồ tỉnh Điện Biên, Việt Nam."
Điện Biên,Nậm He,"Nậm He là một phụ lưu tả ngạn của Nậm Lay, một nhánh phụ bên hữu ngạn sông Đà. Nậm He có lưu vực khoảng 300 km² chủ yếu thuộc địa phận các xã Chà Tở, Mường Tùng của huyện Mường Chà, phía bắc tỉnh Điện Biên, Việt Nam."
Điện Biên,Nậm Hẹ,"Nậm Hẹ là một phụ lưu bờ trái sông Nậm Núa trong thủy vực sông Mekong, chảy ở vùng đất các xã Na Ư và Núa Ngam huyện Điện Biên, phía nam tỉnh Điện Biên, Việt Nam."
Điện Biên,Nậm Ma (Mường Tè),"Nậm Ma, có văn liệu viết là nậm Mạ, là phụ lưu cấp 1 của sông Đà chảy ở tỉnh Điện Biên và Lai Châu, Việt Nam."
Điện Biên,Nậm Mức,"Nậm Mức là một phụ lưu bờ phải sông Đà, chảy ở tỉnh Điện Biên, Việt Nam."
Điện Biên,Nậm Nưa,"Nậm Nưa hay Nậm Nứa, Nam Neua ( sông Nưa ), là một sông trong hệ thống sông Mekong, chảy ở tỉnh Điện Biên, Việt Nam, và tỉnh Phongsaly, Lào."
Điện Biên,Nậm Pồ (sông),"Nậm Pồ là một phụ lưu của sông Đà chảy ở huyện Nậm Pồ tỉnh Điện Biên và huyện Nậm Nhùn, tỉnh Lai Châu."
Điện Biên,Nậm Rốm,"Nậm Rốm, thường được phiên sang tiếng Anh và Pháp là Nam Youm, Nam Youn hay Nam Yum, là phụ lưu bờ phải của Nậm Nưa, chảy ở thung lũng Mường Thanh tỉnh Điện Biên, Việt Nam."
Điện Biên,Nậm Ty (Điện Biên),"Nậm Ti hay Nậm Ty là một sông nhỏ ở huyện Điện Biên, tỉnh Điện Biên Việt Nam, trong lưu vực của sông Đà."
Điện Biên,Nậm Ngam,"Nậm Ngam hay Nậm Ngám là một sông nhỏ chảy ở tỉnh Điện Biên, Việt Nam."
Điện Biên,Suối Pa Ma,"Suối Pa Ma hay huổi Pa Ma là một con suối đổ ra Nậm Ma. Suối Pa Ma chảy ở xã Chung Chải huyện Mường Nhé, tỉnh Điện Biên, Việt Nam."
Điện Biên,Suối Lư,"Suối Lư là phụ lưu cấp 1 của Sông Mã, chảy ở huyện Điện Biên Đông, tỉnh Điện Biên, Việt Nam."
Đồng Nai,Sông Bé,"Sông Bé là một con sông chảy qua các tỉnh Đắk Nông, Bình Phước, Bình Dương và Đồng Nai.Thượng lưu sông Bé còn có tên khác là sông Đăk G'lun."
Đồng Nai,Sông Cầu Be,Sông Cầu Be (tên khác: Sông Đa Kai) là một con sông đổ ra Sông La Ngà.
Đồng Nai,Suối Cầu Vạc,"Suối Cầu Vạc (tên khác: Suối Le) là một con suối đổ ra Sông Thị Vải. Suối có chiều dài 27 km và diện tích lưu vực là 99 km². Suối Cầu Vạc chảy qua các tỉnh Đồng Nai, Bà Rịa - Vũng Tàu."
Đồng Nai,Suối Chết,"Suối Chết là một con suối đổ ra Suối Gia Huỳnh. Suối có chiều dài 26 km và diện tích lưu vực là 131 km². Suối Chết chảy qua các tỉnh Đồng Nai, Bình Thuận."
Đồng Nai,Sông Đa Huoai,Sông Đa Huoai hay Sông Đa Hoai là một phụ lưu cấp 1 của sông Đồng Nai. Sông có chiều dài 47 km và diện tích lưu vực là 389 km².
Đồng Nai,Sông Đa Guoay,"Sông Đa Guoay, tên khác: sông Da Huoai, sông Da M'Bri, là một con sông đổ ra sông Đồng Nai. Sông Đa Guoay chảy qua các tỉnh Đồng Nai, Lâm Đồng, Bình Thuận."
Đồng Nai,Sông Đắk Lua,"Sông Đắk Lua là một con sông đổ ra Sông Đồng Nai. Sông có chiều dài 39 km và diện tích lưu vực là 208 km². Sông Đắk Lua chảy qua các tỉnh Đồng Nai, Bình Phước.."
Đồng Nai,Sông Đồng Nai,"Sông Đồng Nai là con sông nội địa dài nhất Việt Nam, lớn thứ 2 Nam Bộ về lưu vực, chỉ sau sông Cửu Long. Sông Đồng Nai chảy qua các tỉnh Lâm Đồng, Đắk Nông, Bình Phước, Đồng Nai, Bình Dương, Thành phố Hồ Chí Minh với chiều dài 586 km và lưu vực 38.600 km²."
Đồng Nai,Suối Đá Vàng,"Suối Đá Vàng là một con suối đổ ra Suối Cầu Vạc. Suối có chiều dài 10 km và diện tích lưu vực là 17 km². Suối Đá Vàng chảy qua các tỉnh Đồng Nai, Bà Rịa - Vũng Tàu."
Đồng Nai,Suối Đồng Sặt,"Suối Đồng Sặt là một con suối đổ ra Sông Đắk Lua. Suối có chiều dài 17 km và diện tích lưu vực là 46 km². Suối Đồng Sặt chảy qua các tỉnh Đồng Nai, Bình Phước."
Đồng Nai,Sông Đa Dâng,"Sông Đa Dâng (còn được viết là Đa Deung hay Đa Dung ) là dòng thượng nguồn của sông Đồng Nai trên địa bàn tỉnh Lâm Đồng, Việt Nam."
Đồng Nai,Sông Giềng,"Sông Giềng là một con sông đổ ra Sông Dinh. Sông có chiều dài 31 km và diện tích lưu vực là 261 km². Sông Giềng chảy qua các tỉnh Đồng Nai, Bình Thuận."
Đồng Nai,Sông Gò Gia,Sông Gò Gia là một con sông đổ ra Sông Cái Mép. Sông Gò Gia chảy qua tỉnh Đồng Nai và Thành phố Hồ Chí Minh.
Đồng Nai,Suối Gia Huynh,"Suối Gia Huynh là một con suối đổ ra Sông La Ngà. Suối có chiều dài 32 km và diện tích lưu vực là 300 km². Suối Gia Huỳnh chảy qua các tỉnh Đồng Nai, Bình Thuận."
Đồng Nai,Sông La Ngà,"Sông La Ngà là tên một con sông ở miền Nam Trung Bộ, Việt Nam, là phụ lưu cấp I của sông Đồng Nai. Sử nhà Nguyễn gọi sông này là La Nga ( tiếng Trung : 羅俄 )."
Đồng Nai,Suối Lạnh,"Suối Lạnh là một con suối đổ ra Sông Dinh. Suối có chiều dài 19 km và diện tích lưu vực là 104 km². Suối Lạnh chảy qua các tỉnh Đồng Nai, Bình Thuận."
Đồng Nai,Sông Mã Đà,"Sông Mã Đà là một con sông đổ ra Sông Bé. Sông có chiều dài 99 km và diện tích lưu vực là 600 km². Sông Mã Đà chảy qua các tỉnh Đồng Nai, Bình Phước, Bình Dương."
Đồng Nai,Suối Nam,"Suối Nam là một con suối đổ ra Sông Đắk Lua. Suối có chiều dài 11 km và diện tích lưu vực là 45 km². Suối Nam chảy qua các tỉnh Đồng Nai, Bình Phước."
Đồng Nai,Suối Sóc,"Suối Sóc là một con suối đổ ra Sông Thị Vải. Suối có chiều dài 17 km và diện tích lưu vực là 18 km². Suối Sóc chảy qua các tỉnh Đồng Nai, Bà Rịa - Vũng Tàu."
Đồng Nai,Sông Đa Guy,"Sông Đa Guy (tên khác: Sông Da Guy) là một con sông đổ vào sông Đa Huoai. Sông Đa Guy chảy qua các tỉnh Đồng Nai, Lâm Đồng."
Đồng Nai,Sông Ray,Sông Ray là một con sông chảy giữa hai tỉnh Đồng Nai và Bà Rịa - Vũng Tàu.
Đồng Nai,Sông Thị Vải,Sông Thị Vải là con sông chảy qua và làm ranh giới tự nhiên giữa Đồng Nai và Bà Rịa – Vũng Tàu. Đoạn hạ lưu từ chỗ sông Gò Gia hợp lưu với Thị Vải ra tới biển còn gọi là sông Cái Mép.
Đồng Nai,Sông Tắc Cua,Sông Tắc Cua là một con sông đổ ra Sông Ba Gioi. Sông Tắc Cua chảy qua tỉnh Đồng Nai và Thành phố Hồ Chí Minh.
Đồng Nai,Sông Tầm Bó,"Sông Tầm Bó là một con sông đổ ra Sông Ray. Sông có chiều dài 15 km và diện tích lưu vực là 82 km². Sông Tầm Bó chảy qua các tỉnh Đồng Nai, Bà Rịa - Vũng Tàu."
Đồng Nai,Suối Tròng,"Suối Tròng là một con suối đổ ra Sông Ray. Suối có chiều dài 36 km và diện tích lưu vực là 138 km². Suối Tròng chảy qua các tỉnh Đồng Nai, Bà Rịa - Vũng Tàu."
Đồng Nai,Suối Tượng,"Suối Tượng là một con suối đổ ra Sông Giềng. Suối có chiều dài 18 km và diện tích lưu vực là 77 km². Suối Tượng chảy qua các tỉnh Đồng Nai, Bình Thuận."
Đồng Tháp,Sông Cái Vùng,"Sông Cái Vùng là một con sông đổ ra Sông Tiền. Sông có chiều dài 21 km và diện tích lưu vực là km². Sông Cái Vùng chảy qua các tỉnh Đồng Tháp, An Giang."
Đồng Tháp,Kênh Phước Xuyên,"Kênh Phước Xuyên (tên khác: Sông Thông Bình) là một con kênh đổ ra Kênh Dương Văn Dương. Kênh có chiều dài 49 km. Kênh Phước Xuyên chảy qua các tỉnh Đồng Tháp, Long An."
Đồng Tháp,Sông Sa Đéc,"Sông Sa Đéc là một con sông chảy từ Sông Hậu và đổ ra Sông Tiền. Sông có chiều dài 51 km và diện tích lưu vực là km². Sông Sa Đéc chảy qua các tỉnh An Giang, Đồng Tháp, Vĩnh Long và Tiền Giang."
Đồng Tháp,Sông Sở Thượng,"Sông Sở Thượng ( Preak Kaoh Sampŏu ) còn gọi là rạch Sở Thượng, là đoạn hạ lưu của Preak Banam, chảy dọc theo biên giới Việt Nam-Campuchia theo hướng tây bắc-đông nam đổ vào sông (rạch) Hồng Ngự để hợp lưu vào sông Tiền Giang tại thành phố Hồng Ngự. Sông Sở Thượng là con sông biên giới, phân chia giữa tỉnh Đồng Tháp của Việt Nam và tỉnh Prey Veng của Campuchia. Thượng nguồn của Sở Thượng, (sông) Preak Banam là một phân lưu của sông Mekong (Tiền Giang), nhận nước của Mekong từ thị trấn Peam Ro huyện Peam Ro tỉnh Prey Veng (cuối cùng lại đổ vào Mekong tại Hồng Ngự). Bờ bắc sông Sở Thượng là xã Kaoh Sampov của huyện Peam Chor tỉnh Prey Veng. Bờ nam sông là các xã Thường Thới Hậu A, Thường Thới Hậu B của huyện Hồng Ngự tỉnh Đồng Tháp. Sông Sở Thượng đổ nước vào rạch Hồng Ngự tại xã Tân Hội của thành phố Hồng Ngự. Sở Thượng cùng sông Sở Hạ (chảy theo hướng đông bắc-tây nam lại) hợp lưu vào rạch Hồng Ngự. Đồng thời 2 sông này đều là các sông biên giới của Đồng Tháp với Campuchia."
Đồng Tháp,Kênh Tháp Mười,"Kênh Tháp Mười (tên khác: Kênh Nguyễn Văn Tiếp) là một con kênh đổ ra Sông Vàm Cỏ Tây. Kênh có chiều dài 93 km. Kênh Tháp Mười chảy qua các tỉnh Long An, Tiền Giang, Đồng Tháp."
Gia Lai,Phụ lưu số 8,"Phụ lưu số 8 là một con sông đổ ra sông Ea H'Leo. Sông có chiều dài 10 km và diện tích lưu vực là 24 km². Phụ lưu số 8 chảy qua các tỉnh Gia Lai, Đắk Lắk."
Gia Lai,Sông Ba,"Sông Ba (phần thượng lưu gọi là Ea Pa, Ia Pa hay Krông Pa, phần hạ lưu gọi là sông Đà Rằng ) là con sông lớn nhất vùng ven biển miền Trung, chảy qua 3 tỉnh miền Trung Việt Nam là Kon Tum, Gia Lai và Phú Yên với diện tích lưu vực 13.900 km²."
Gia Lai,Sông Ea Mláh,"Sông Ea Mláh, còn viết là sông Ea Mlách, là phụ lưu bờ trái sông Ea Pa ( sông Ba ) trong hệ thống sông Ba. Sông Ba M'la chảy ở huyện Krông Pa tỉnh Gia Lai, Việt Nam."
Gia Lai,Sông Cà Lúi,"Sông Cà Lúi là một phụ lưu của sông Ba. Sông Cà Lúi chảy qua các tỉnh Gia Lai và Phú Yên, Việt Nam."
Gia Lai,Sông Cà Tỏng,"Sông Cà Tỏng là một con sông đổ ra Sông Kỳ Lộ. Sông có chiều dài 15 km và diện tích lưu vực là 86 km². Sông Cà Tỏng chảy qua các tỉnh Phú Yên, Gia Lai, Bình Định."
Gia Lai,Sông Đak Ha Way,"Sông Đak Ha Way là một con sông đổ ra sông Đak Pơ Kơ. Sông có chiều dài 52 km và diện tích lưu vực là 719 km². Sông Đắk Po Kor chảy qua các tỉnh Gia Lai, Bình Định."
Gia Lai,Sông Đak Pơ Kei,"Sông Đắk Po Kei là một con sông đổ ra sông Đăk Bla. Sông có chiều dài 43 km và diện tích lưu vực là 300 km². Sông Đắk Po Kei chảy qua các tỉnh Kon Tum, Gia Lai."
Gia Lai,Sông Đăk Bla,"Sông Đăk Bla hay Krông B'Lah là phụ lưu hợp thành chính của Sông Sê San. Đăk Bla chảy qua các tỉnh Kon Tum, Gia Lai."
Gia Lai,Sông Đăk Pơ Ne,"Đăk Pơ Ne hay Đăk Pô Ne là phụ lưu hợp thành của dòng Đăk Bla thuộc hệ thống sông Sê San, chảy ở huyện Kon Plong tỉnh Kon Tum, Việt Nam."
Gia Lai,Sông Đắk Trúc,"Sông Đắk Trúc (tên khác: Sông Đăk Riêng ) là một con sông đổ ra Sông Trà Sơn trong mạng lưới sông Kôn. Sông có chiều dài 18 km và diện tích lưu vực là 83 km². Sông Đắk Trúc chảy qua các tỉnh Gia Lai, Bình Định."
Gia Lai,Sông Đak Pơ Kơ,"Sông Đak Pơ Kơ là phụ lưu bên bờ trái của Sông Ba. Đak Pơ Kơ chảy ở huyện Tây Sơn tỉnh Bình Định, huyện Đak Pơ và Kông Chro tỉnh Gia Lai, Việt Nam."
Gia Lai,Sông Đăk Pne,"Sông Đăk Pne là một con sông đổ ra Sông Đăk Pơ Ne. Sông có chiều dài 48 km và diện tích lưu vực là 291 km². Sông Đăk Pne chảy qua các tỉnh Kon Tum, Gia Lai."
Gia Lai,Sông Đak Pờ Tó,"Đắk Pờ Tó, còn viết là Đăk P'Tó, là phụ lưu bờ phải sông Ea Pa trong hệ thống sông Ba. Đăk Pờ Tó chảy ở các huyện Mang Yang và Ia Pa tỉnh Gia Lai, Việt Nam."
Gia Lai,Sông Đak Xa Wong,"Đăk Xa Wong là phụ lưu bên bờ phải của Sông Ba. Đăk Xa Wong chảy ở huyện Đak Pơ tỉnh Gia Lai, Việt Nam."
Gia Lai,Sông Ea Ko Nho,"Sông Ea Ko Nho là một con sông đổ ra Sông Ia Bal. Sông Ea Ko Nho chảy qua các tỉnh Gia Lai và Đắk Lắk, Việt Nam."
Gia Lai,Sông Ea Sol,"Sông Ea Sol, tên khác: Suối Ea Y, là một phụ lưu bờ phải sông Ba A Yun. Sông Ea Sol chảy ở huyện Ea H'leo tỉnh Đắk Lắk và huyện Phú Thiện tỉnh Gia Lai, Việt Nam."
Gia Lai,Sông Ea Bal,"Sông Ea Bal (các tên khác: sông Ia Bal, sông Ea Zin, sông Ea Znin tùy theo đoạn sông) là một phụ lưu bờ trái của Sông Ea Sol. Sông Ea Bal chảy qua các tỉnh Gia Lai và Đắk Lắk, Việt Nam."
Gia Lai,Sông Ea Kra,"Sông Ea Kra (tên khác: Suối Ea Kner ) là một con sông đổ ra Sông Ea Puich trong hệ thống sông Ba. Sông Ea Kra chảy qua các tỉnh Đắk Lắk và tỉnh Gia Lai, Việt Nam."
Gia Lai,Sông Ea Rbol,"Sông Ea Rbol (tên khác: Sông Ea Rơ Ban, Sông Ea R'Bol ) là một phụ lưu bờ phải của sông Ba. Sông Ea Rbol chảy qua các tỉnh Đắk Lắk và tỉnh Gia Lai, Việt Nam."
Gia Lai,Suối Ea Chro Tao,"Suối Ea Chro Tao là một phụ lưu của sông Ia Hiao trong hệ thống sông Ba. Suối Ea Chro Tao chảy ở các huyện Ea H'leo tỉnh Đắk Lắk và huyện Phú Thiện tỉnh Gia Lai, Việt Nam."
Gia Lai,Sông Ea H'leo,"Sông Ea H'leo hay sông Ia H'leo, phía Campuchia gọi là Prêk Nam Lieou ( tiếng Khmer : ព្រែកណាមលៀវ ), là một phụ lưu của sông Srêpốk thuộc hệ thống sông Mê Kông, chảy qua Việt Nam và Campuchia."
Gia Lai,Sông Ea Rsai,"Sông Ea Rsai, còn viết là Ea R'Sai, Ea RSai hay Ia Rsai, là phụ lưu bờ trái sông Ea Pa ( sông Ba ) trong hệ thống sông Ba. Sông Ea Rsai chảy ở huyện Krông Pa tỉnh Gia Lai, Việt Nam."
Gia Lai,Sông Ea Thul,"Sông Ea Thul hay sông Ea Tul là phụ lưu bên bờ trái của sông Ea Pa (sông Ba) trong hệ thống sông Ba. Sông Ea Thul chảy ở huyện Kbang và Ia Pa tỉnh Gia Lai, Việt Nam."
Gia Lai,Sông Ia Drăng,"Sông Ia Drăng, phía Campuchia gọi là Prêk Drang, là một phụ lưu của sông Srêpốk thuộc hệ thống sông Mê Kông, chảy qua Việt Nam và Campuchia."
Gia Lai,Sông Ia Grai,"Sông Ia Grai là phụ lưu của Sông Sê San, chảy ở huyện Ia Grai, tỉnh Gia Lai, Việt Nam."
Gia Lai,Sông Ia Hiao,"Sông (suối) Ia Hiao, còn gọi là suối Ea Hiao, là phụ lưu bên bờ phải của Sông Ba A Yun trong hệ thống sông Ba. Sông Ia Hiao chảy ở huyện Ea H'leo tỉnh Đắk Lắk qua huyện Phú Thiện, tỉnh Gia Lai, Việt Nam."
Gia Lai,Sông Ia Khe,"Sông (suối) Ia Khe, còn viết là Ia Khé, là phụ lưu bờ phải sông Ia Ayun trong hệ thống sông Ba. Sông Ia Khe chảy ở các huyện Chư Sê và Phú Thiện tỉnh Gia Lai, Việt Nam."
Gia Lai,Sông Ia Lốp,"Sông Ia Lốp là một con sông đổ ra sông Ea H'leo. Sông có chiều dài 120 km và diện tích lưu vực là 1.747 km². Sông Ia Lốp chảy qua các tỉnh Gia Lai, Đắk Lắk."
Gia Lai,Sông Ia Pết,"Sông (suối) Ia Pết, còn viết là sông Ia Pett, là phụ lưu bờ phải sông Ia Ayun trong hệ thống sông Ba. Sông Ia Pết chảy ở các huyện Đak Đoa, Chư Sê tỉnh Gia Lai, Việt Nam."
Gia Lai,Sông Kôn-Hà Thanh,"Sông Kôn-Hà Thanh là một con sông đổ ra Biển Đông. Sông có chiều dài km và diện tích lưu vực là 3.809 km². Sông Kôn-Hà Thanh chảy qua các tỉnh Gia Lai, Bình Định."
Gia Lai,Sông Krông Năng,"Sông Krông Năng hay sông Krông H'Năng là một phụ lưu của sông Ba chảy qua địa bàn ba tỉnh Đắk Lắk, Gia Lai và Phú Yên tại miền Trung Việt Nam."
Gia Lai,Sông Ayun,"Sông Ayun là một phụ lưu của sông Ba, chảy hoàn toàn trên địa phận tỉnh Gia Lai, Việt Nam."
Gia Lai,Sông Côn,"Sông Côn còn gọi là sông Kôn hoặc sông Kone là dòng sông lớn nhất của tỉnh Bình Định, Việt Nam.."
Gia Lai,Sông Sê San,"Sông Sê San, phía Campuchia gọi là Tonlé San ( tiếng Khmer : ទន្លេសាន ), là một trong các phụ lưu lớn của sông Mekong bắt nguồn từ Bắc và Trung Tây Nguyên của Việt Nam rồi chảy sang lãnh thổ Campuchia và nhập vào sông Mê Kông tại Stung Treng."
Gia Lai,Sông Trà Sơn,"Sông Trà Sơn (tên khác: Sông Kon Trut, Sông Sơn Lang) là một con sông đổ ra Sông Côn. Sông có chiều dài 39 km và diện tích lưu vực là 229 km². Sông Trà Sơn chảy qua các tỉnh Gia Lai, Bình Định."
Hà Giang,Sông Bắc Cuông,"Sông Bắc Cuông là một con sông đổ ra Sông Chảy. Sông có chiều dài 35 km và diện tích lưu vực là 216 km². Sông Bắc Cuông chảy qua các tỉnh Lào Cai, Hà Giang."
Hà Giang,Suối Ba Ta,"Suối Ba Ta là một con suối đổ ra Sông Nhiệm. Suối có chiều dài 24 km và diện tích lưu vực là 102 km². Suối Ba Ta chảy qua các tỉnh Hà Giang, Cao Bằng."
Hà Giang,Suối Bản Ngô,"Suối Bản Ngô là một con suối đổ ra Nậm Dần. Suối có chiều dài 12 km và diện tích lưu vực là 66 km². Suối Bản Ngô chảy qua các tỉnh Lào Cai, Hà Giang."
Hà Giang,Sông Bạc,"Sông Bạc là phụ lưu cấp 2 của sông Lô, chảy ở huyện Hoàng Su Phì và Quang Bình tỉnh Hà Giang, Việt Nam."
